latitude,longitude,tweets
40.714353,-74.005973,629
40.714353,-74.005973,1460
40.416775,-3.703790,493
-40.352306,175.608215,382
-39.639578,176.839232,22
-39.588335,174.279539,4
-39.492844,176.912018,2
39.103118,-84.51202,2
-39.055625,174.075228,3
-38.662334,178.017649,6
38.624565,-90.184665,778
38.624565,-90.184665,2
38.624565,-90.184665,1
-38.368473,175.774358,1
-38.136848,176.249746,27
-38.064896,177.003451,8
-38.036448,176.793476,5
-37.896546,175.602364,101
-37.814107,144.96328,627
-37.787001,175.279253,91
-37.697179,176.284717,3
-37.687797,176.16513,355
-37.638654,176.183627,52
37.354108,-121.955236,159
-36.994102,174.87266,18
-36.968628,174.793687,715
-36.953021,174.468809,8
-36.850424,174.54254,121
-36.84846,174.763332,4802
36.312596,-95.616090,1
-36.270226,174.407817,2
35.915370,-94.969956,309
-35.725112,174.323708,281
35.689487,139.691706,155
35.529263,-95.117181,1
35.477057,-83.320586,1
-35.407194,173.803926,177
-35.387899,174.013869,17
-35.11733,173.267559,4
-34.994062,173.528918,30
34.773210,-80.391731,7
34.052234,-118.243685,21964
-33.867487,151.20699,16
33.717471,-117.831143,128
-32.536809,115.742746,53
31.327119,-89.290339,2526
29.760193,-95.369390,4
-28.01726,153.425699,1
-22.913395,-43.20071,542
21.543333,39.172778,16
19.432608,-99.133208,1920
-17.538843,-149.829523,234
-12.970382,-38.512382,623
